id,company_id,sector,emtak,name,phone
2519,573,Hotellid,55101,"2Korrus OÜ",
4251,2121,Hotellid,55101,"Ammende Hotell OÜ","+372 58867855"
6364,4103,Hotellid,55101,"Animar Grupp OÜ","+372 5129464"
8044,5722,Hotellid,55101,"Antur Grupp OÜ",
9111,6679,Hotellid,55101,"Aquamarinepirita OÜ","+372 53056977"
9180,6737,Hotellid,55101,"Aqva Hotels Osaühing",
9222,6773,Hotellid,55101,"Arado Group OÜ",
9521,7027,Hotellid,55101,"Arcatea Hotels OÜ",
9919,7377,Hotellid,55101,"Arena OÜ","+372 53011988"
10573,7951,Hotellid,55101,"ARIPO OÜ","+372 53309444"
14440,11060,Hotellid,55101,"AS Sokotel","+372 56809606"
15021,11491,Hotellid,55101,"AS Wasa",
15843,12195,Hotellid,55101,"AT Sadama Villa osaühing","+372 56694210"
19667,15497,Hotellid,55101,"Baltic Beach Holding OÜ",
19680,15507,Hotellid,55101,"Baltic beds OÜ","+372 54564127"
28687,23457,Hotellid,55101,"BS Apartments OÜ","+372 56257750"
28941,23672,Hotellid,55101,"BUBIS OÜ",
29018,23740,Hotellid,55101,"Buffo Ehitus OÜ",
30368,24932,Hotellid,55101,"Campingud OÜ",
32168,26519,Hotellid,55101,"Centennial Hospitality OÜ",
33483,27704,Hotellid,55101,"Citybox Tallinn OÜ",
33544,27760,Hotellid,55101,"City Inn OÜ",
33631,27835,Hotellid,55101,"Citystudio OÜ",
33667,27863,Hotellid,55101,"City Yard Inn OÜ",
38005,31718,Hotellid,55101,"Cru Grupp OÜ","+372 5030383"
39165,32747,Hotellid,55101,"Daily Hotels OÜ",
46651,39440,Hotellid,55101,"Duco MP OÜ","+372 6994400"
46655,39443,Hotellid,55101,"Duco Styles OÜ","+372 6996391"
47936,40573,Hotellid,55101,"Economy Hotel OÜ",
47972,40606,Hotellid,55101,"Ecopress OÜ","+372 5056013"
50889,43327,Hotellid,55101,"Eesti Spordiselts Põhjakotkas",
51682,44051,Hotellid,55101,"Egnever OÜ",
52850,45085,Hotellid,55101,"Ekopuit OÜ","+372 56902344"
53390,45538,Hotellid,55101,"Elda Angels OÜ",
55797,47854,Hotellid,55101,"Emajõe Keeltekool OÜ","+372 58167882"
60601,52109,Hotellid,55101,"ESTMA HPT OÜ","+372 5044408"
60603,52111,Hotellid,55101,"Estmak Management OÜ","+372 6780005"
60984,52448,Hotellid,55101,"Estonia Spa Hotels AS",
61258,52687,Hotellid,55101,"EstTruffe OÜ","+372 5049739"
62165,53465,Hotellid,55101,"EuroHotel OÜ",
67620,58354,Hotellid,55101,"Finest Rannahotell OÜ",
69915,60414,Hotellid,55101,"Foor Jõhvi OÜ","+372 53980872"
77910,67539,Hotellid,55101,"Gourmancello OÜ",
78264,67841,Hotellid,55101,"Grand Hotell Fellin OÜ","+372 5093210"
78264,67841,Hotellid,55101,"Grand Hotell Fellin OÜ","+372 5178801"
78907,68405,Hotellid,55101,"Green Hospitality OÜ","+372 56239302"
79743,69129,Hotellid,55101,"GroupRumi OÜ",
82313,71666,Hotellid,55101,"Hansa Akadeemia OÜ","+372 58167882"
82376,71720,Hotellid,55101,"Hansahotell - Tartu OÜ",
84990,74265,Hotellid,55101,"Hektor Design Hostels OÜ",
84991,74266,Hotellid,55101,"Hektor Design Hostels Tallinn OÜ","+372 5053649"
85859,75048,Hotellid,55101,"HELLOGOODBYE OÜ",
86680,75775,Hotellid,55101,"Hermiona Home OÜ",
88529,77516,Hotellid,55101,"HMP Hotellid OÜ",
88959,77889,Hotellid,55101,"Holmi Holding OÜ","+372 5096987"
90774,79592,Hotellid,55101,"HotCon OÜ",
90780,79598,Hotellid,55101,"Hotel Group BaltInn OÜ",
90788,79603,Hotellid,55101,"Hotell Antonius OÜ",
90791,79604,Hotellid,55101,"Hotell Centrum Viljandi osaühing",
90793,79605,Hotellid,55101,"Hotel Lembitu OÜ",
90803,79615,Hotellid,55101,"HOTELL OLÜMPIA AS",
90814,79618,Hotellid,55101,"Hotell Tartu OÜ",
90817,79619,Hotellid,55101,"Hotell Tähetorni OÜ","+372 5043072"
90819,79621,Hotellid,55101,"HOTELL VAKSAL OÜ","+358 504327956"
90823,79622,Hotellid,55101,"Hotell Wesset OÜ",
90825,79624,Hotellid,55101,"Hotel Operator Mogotel Estonia OÜ",
90831,79630,Hotellid,55101,"Hotelweb OÜ","+372 56970330"
94021,82478,Hotellid,55101,"Ikkunapojat OÜ","+358 400981252"
94021,82478,Hotellid,55101,"Ikkunapojat OÜ","+372 58533442"
94392,82824,Hotellid,55101,"Ilmaveere Õun OÜ",
97049,85172,Hotellid,55101,"Inn2 Estonia OÜ",
106082,93331,Hotellid,55101,"Juhkentali Hotel OÜ","+372 53915555"
106413,93629,Hotellid,55101,"Juniper-Villas OÜ",
115892,103162,Hotellid,55101,"Kentmanni Hotell OÜ",
119249,106210,Hotellid,55101,"K&J&Co Est OÜ","+372 55562925"
120378,107177,Hotellid,55101,"KMK Wabrik OÜ",
124243,111172,Hotellid,55101,"Kotka Invest OÜ","+372 55555349"
124942,111768,Hotellid,55101,"K-Reedik OÜ","+372 5527817"
127765,114262,Hotellid,55101,"Kuninga Kapital OÜ","+372 53811147"
129301,115627,Hotellid,55101,"Kõue mõis OÜ","+372 5046509"
132488,118405,Hotellid,55101,"LaSpa Group OÜ",
134784,120436,Hotellid,55101,"Lembitu LHS OÜ","+372 5013829"
136130,121628,Hotellid,55101,"L Hotels OÜ",
139817,124908,Hotellid,55101,"Logistikakorralduse Osaühing","+372 5176896"
140337,125419,Hotellid,55101,"Loodusspaahotell OÜ","+372 5099201"
140918,125914,Hotellid,55101,"Lossi Catering OÜ",
142900,127739,Hotellid,55101,"LUX HOSTEL OÜ",
144257,129464,Hotellid,55101,"Maahotell Laitz OÜ",
145784,130919,Hotellid,55101,"Mahot OÜ",
147487,132475,Hotellid,55101,"Management Mill OÜ","+372 6001004"
147990,132913,Hotellid,55101,"Mapungane Gandaganga OÜ",
148763,133621,Hotellid,55101,"MARGO NARITS",
150570,135292,Hotellid,55101,"Marno OÜ",
151373,136001,Hotellid,55101,"Maryna Yakovlieva",
153299,137691,Hotellid,55101,"Medaset OÜ",
154424,138702,Hotellid,55101,"Mehntack OÜ","+372 56675980"
155595,139721,Hotellid,55101,"Merekarp Living OÜ",
155691,139800,Hotellid,55101,"Merepargi Aparthotel OÜ","+372 5112739"
155691,139800,Hotellid,55101,"Merepargi Aparthotel OÜ","+372 55963035"
156119,140172,Hotellid,55101,"MERITON HOTELS OÜ",
159796,143336,Hotellid,55101,"Mini3 OÜ",
162585,145948,Hotellid,55101,"Mittetulundusühing Hobused & Sport","+372 5641572"
162585,145948,Hotellid,55101,"Mittetulundusühing Hobused & Sport","+372 5643864"
163022,146373,Hotellid,55101,"mittetulundusühing Kaali Külastuskeskus","+372 5050434"
169969,152962,Hotellid,55101,"Mogotel development Estonia OÜ",
170436,153386,Hotellid,55101,"Monins OÜ","+372 58186655"
171372,154216,Hotellid,55101,"MoSpa OÜ",
172167,154929,Hotellid,55101,"MR kinnisvara OÜ",
180328,162798,Hotellid,55101,"My City Hotel OÜ",
181448,163820,Hotellid,55101,"NareKaks OÜ","+372 6440130"
181468,163839,Hotellid,55101,"Narmet OÜ","+372 56678168"
181497,163864,Hotellid,55101,"Narva 2014 Osaühing","+372 5171975"
181497,163864,Hotellid,55101,"Narva 2014 Osaühing","+372 55674340"
181497,163864,Hotellid,55101,"Narva 2014 Osaühing","+400 784478"
185704,167834,Hotellid,55101,"N&K Invest OÜ","+357 99419999"
186500,168556,Hotellid,55101,"Noorus OÜ","+372 5142948"
186929,168919,Hotellid,55101,"Nord Hostel OÜ","+372 5041795"
189443,171122,Hotellid,55101,"Nunne Kvartal OÜ",
191722,173186,Hotellid,55101,"Old Hapsal Hotel OÜ","+372 5092126"
192324,173763,Hotellid,55101,"Olive Hospitality OÜ",
193603,174907,Hotellid,55101,"Operating Reg.Tall. OÜ","+372 58879701"
194735,175903,Hotellid,55101,"Osaühing Aara","+372 5074547"
195802,176680,Hotellid,55101,"osaühing Allee residents","+372 5044891"
195944,176785,Hotellid,55101,"OSAÜHING ALSTOK PUIT","+372 5097207"
