id,company_id,sector,emtak,name,phone,source_file
1211,1101,"Mootorsõidukite hooldus ja remont",4520,"4Speed OÜ","+372 56830998",sector_4520_count_36.json
6473,5734,"Mootorsõidukite hooldus ja remont",4520,"EGR Autohooldus OÜ","+372 5248408",sector_4520_count_36.json
6473,5734,"Mootorsõidukite hooldus ja remont",4520,"EGR Autohooldus OÜ","+372 53464494",sector_4520_count_36.json
8539,7538,"Mootorsõidukite hooldus ja remont",4520,"Elektromontagetechnik OÜ","+372 58001915",sector_4520_count_36.json
9253,8176,"Mootorsõidukite hooldus ja remont",4520,"Elite Car Solutions OÜ","+372 58628050",sector_4520_count_36.json
10438,9416,"Mootorsõidukite hooldus ja remont",4520,"Elvise abi OÜ","+372 58212100",sector_4520_count_36.json
12158,10912,"Mootorsõidukite hooldus ja remont",4520,"ESKP Eesti OÜ","+372 56650910",sector_4520_count_36.json
14224,12728,"Mootorsõidukite hooldus ja remont",4520,"Fine Shine OÜ","+372 57809825",sector_4520_count_36.json
20866,18652,"Mootorsõidukite hooldus ja remont",4520,"JP Garage OÜ","+372 56496546",sector_4520_count_36.json
23612,21123,"Mootorsõidukite hooldus ja remont",4520,"lux auto OÜ","+372 5286436",sector_4520_count_36.json
26708,24545,"Mootorsõidukite hooldus ja remont",4520,"MarmolBoost OÜ","+372 56202164",sector_4520_count_36.json
27911,25709,"Mootorsõidukite hooldus ja remont",4520,"MTR Paint OÜ","+372 56920393",sector_4520_count_36.json
31801,28754,"Mootorsõidukite hooldus ja remont",4520,"Osaühing KOLJAKU TRESTER","+372 5089002",sector_4520_count_36.json
33015,29605,"Mootorsõidukite hooldus ja remont",4520,"Osaühing Lateral","+372 5535325",sector_4520_count_36.json
33318,29817,"Mootorsõidukite hooldus ja remont",4520,"Osaühing RAINI ÄRI","+372 5277138",sector_4520_count_36.json
33386,29860,"Mootorsõidukite hooldus ja remont",4520,"Osaühing Rakvere Autotehnika","+372 5058787",sector_4520_count_36.json
34636,30746,"Mootorsõidukite hooldus ja remont",4520,"Osaühing RL TEENUSED","+372 55546378",sector_4520_count_36.json
35441,31381,"Mootorsõidukite hooldus ja remont",4520,"OÜ Fibre Wolf","+372 5253689",sector_4520_count_36.json
37988,33431,"Mootorsõidukite hooldus ja remont",4520,"OÜ Hiiu Cars","+372 56645990",sector_4520_count_36.json
40301,35288,"Mootorsõidukite hooldus ja remont",4520,"OÜ Vaiest","+372 5174600",sector_4520_count_36.json
40921,35790,"Mootorsõidukite hooldus ja remont",4520,"OÜ VEOKIREMONT","+372 55541291",sector_4520_count_36.json
43222,37721,"Mootorsõidukite hooldus ja remont",4520,"Pro-Polish OÜ","+372 55500618",sector_4520_count_36.json
44886,39177,"Mootorsõidukite hooldus ja remont",4520,"Purgatory OÜ","+372 5059444",sector_4520_count_36.json
45953,40414,"Mootorsõidukite hooldus ja remont",4520,"RenoMotors OÜ","+372 53459720",sector_4520_count_36.json
47207,41519,"Mootorsõidukite hooldus ja remont",4520,"Reverend OÜ","+372 5515388",sector_4520_count_36.json
52859,46737,"Mootorsõidukite hooldus ja remont",4520,"Sunny Motors OÜ","+372 56810940",sector_4520_count_36.json
53070,46923,"Mootorsõidukite hooldus ja remont",4520,"Superauto OÜ","+372 5084111",sector_4520_count_36.json
53662,47447,"Mootorsõidukite hooldus ja remont",4520,"Suureoja OÜ","+372 55515531",sector_4520_count_36.json
53929,47686,"Mootorsõidukite hooldus ja remont",4520,"SV Autoservice OÜ","+372 55979293",sector_4520_count_36.json
56792,51965,"Mootorsõidukite hooldus ja remont",4520,"T-Car OÜ","+372 5104512",sector_4520_count_36.json
57971,52992,"Mootorsõidukite hooldus ja remont",4520,"Tiiok OÜ","+372 55615263",sector_4520_count_36.json
60113,54933,"Mootorsõidukite hooldus ja remont",4520,"V8 BROTHERHOOD DRIVERS MTÜ","+372 56281373",sector_4520_count_36.json
60113,54933,"Mootorsõidukite hooldus ja remont",4520,"V8 BROTHERHOOD DRIVERS MTÜ","+372 56837600",sector_4520_count_36.json
60117,54937,"Mootorsõidukite hooldus ja remont",4520,"V8 Keretööd OÜ","+372 5225228",sector_4520_count_36.json
62334,57394,"Mootorsõidukite hooldus ja remont",4520,"Wa-sta OÜ","+372 51977797",sector_4520_count_36.json
64347,59149,"Mootorsõidukite hooldus ja remont",4520,"Bellumpoint OÜ","+372 56617858",sector_4520_count_36.json
